date,article_count,moving_average,delta,is_peak
2023-01-01,665,0.0,665.0,False
2023-01-02,748,665.0,83.0,False
2023-01-03,1536,706.5,829.5,True
2023-01-04,1681,983.0,698.0,False
2023-01-05,1566,1157.5,408.5,False
2023-01-06,1433,1239.2,193.79999999999995,False
2023-01-07,732,1271.5,-539.5,False
2023-01-08,711,1194.4285714285713,-483.42857142857133,False
2023-01-09,1596,1201.0,395.0,False
2023-01-10,1678,1322.142857142857,355.8571428571429,False
2023-01-11,1651,1342.4285714285713,308.57142857142867,False
2023-01-12,1546,1338.142857142857,207.8571428571429,False
2023-01-13,1525,1335.2857142857142,189.71428571428578,False
2023-01-14,709,1348.4285714285713,-639.4285714285713,False
2023-01-15,578,1345.142857142857,-767.1428571428571,False
2023-01-16,1510,1326.142857142857,183.8571428571429,False
2023-01-17,1562,1313.857142857143,248.1428571428571,False
2023-01-18,1568,1297.2857142857142,270.7142857142858,False
2023-01-19,1489,1285.4285714285713,203.57142857142867,False
2023-01-20,1427,1277.2857142857142,149.71428571428578,False
2023-01-21,768,1263.2857142857142,-495.2857142857142,False
2023-01-22,784,1271.7142857142858,-487.7142857142858,False
2023-01-23,1473,1301.142857142857,171.8571428571429,False
2023-01-24,1604,1295.857142857143,308.1428571428571,False
2023-01-25,1516,1301.857142857143,214.1428571428571,False
2023-01-26,1642,1294.4285714285713,347.57142857142867,False
2023-01-27,1433,1316.2857142857142,116.71428571428578,False
2023-01-28,779,1317.142857142857,-538.1428571428571,False
2023-01-29,679,1318.7142857142858,-639.7142857142858,False
2023-01-30,1591,1303.7142857142858,287.2857142857142,False
2023-01-31,1476,1320.5714285714287,155.42857142857133,False
2023-02-01,1542,1302.2857142857142,239.71428571428578,False
2023-02-02,1519,1306.0,213.0,False
2023-02-03,1441,1288.4285714285713,152.57142857142867,False
2023-02-04,809,1289.5714285714287,-480.57142857142867,False
2023-02-05,693,1293.857142857143,-600.8571428571429,False
2023-02-06,1521,1295.857142857143,225.1428571428571,False
2023-02-07,1530,1285.857142857143,244.1428571428571,False
2023-02-08,1516,1293.5714285714287,222.42857142857133,False
2023-02-09,1327,1289.857142857143,37.14285714285711,False
2023-02-10,1326,1262.4285714285713,63.57142857142867,False
2023-02-11,738,1246.0,-508.0,False
2023-02-12,612,1235.857142857143,-623.8571428571429,False
2023-02-13,1337,1224.2857142857142,112.71428571428578,False
2023-02-14,1428,1198.0,230.0,False
2023-02-15,1565,1183.4285714285713,381.57142857142867,False
2023-02-16,1609,1190.4285714285713,418.57142857142867,False
2023-02-17,1462,1230.7142857142858,231.28571428571422,False
2023-02-18,869,1250.142857142857,-381.1428571428571,False
2023-02-19,677,1268.857142857143,-591.8571428571429,False
2023-02-20,1632,1278.142857142857,353.8571428571429,False
2023-02-21,1677,1320.2857142857142,356.7142857142858,False
2023-02-22,1711,1355.857142857143,355.1428571428571,False
2023-02-23,1628,1376.7142857142858,251.28571428571422,False
2023-02-24,1554,1379.4285714285713,174.57142857142867,False
