region_id,region_name,term,regional_count,global_count,relative_ratio
11,Biobio,alexander,423,10105,1.0959959910886259
11,Biobio,presentado,1533,36627,1.0958364008422923
11,Biobio,categorias,759,18136,1.095734118792564
11,Biobio,terreno,2095,50063,1.0956505786844009
11,Biobio,playa,855,20432,1.095620503033731
11,Biobio,recuerdo,828,19788,1.0955528958830112
11,Biobio,inolvidable,283,6764,1.0954378749882951
11,Biobio,costado,621,14844,1.095331482605751
11,Biobio,describe,345,8247,1.0952872106893934
11,Biobio,fuerza,3775,90239,1.0952861552436752
11,Biobio,norteamericana,224,5355,1.0952000608118733
11,Biobio,tolerancia,207,4949,1.0951101588064773
11,Biobio,manifestantes,360,8608,1.0949774074537855
11,Biobio,lucha,1956,46774,1.0948868889468766
11,Biobio,intimidacion,325,7772,1.0948521741481922
11,Biobio,cumple,1039,24847,1.0948295321560515
11,Biobio,colaborar,634,15169,1.0943020747378838
11,Biobio,grado,858,20530,1.0942164879369967
11,Biobio,parecen,515,12325,1.09401988833255
11,Biobio,provenientes,476,11392,1.0939863230338054
11,Biobio,autopista,342,8191,1.093186088047134
11,Biobio,controlar,856,20503,1.0931034601979694
11,Biobio,basado,504,12072,1.0930907664601606
11,Biobio,unanime,379,9082,1.0926036033895703
11,Biobio,territorial,888,21281,1.0925110798815871
11,Biobio,mismos,1481,35513,1.0918742229058058
11,Biobio,festival,4077,97775,1.0917364311130324
11,Biobio,experimento,347,8322,1.091708469053472
11,Biobio,explosivos,219,5253,1.0915449635215424
11,Biobio,proporcionada,220,5277,1.0915421299663532
11,Biobio,donoso,229,5494,1.091319067695031
11,Biobio,reporto,705,16916,1.0911798977250895
11,Biobio,atractiva,259,6216,1.090921935574327
11,Biobio,litros,310,7441,1.0907753259875006
11,Biobio,emotiva,316,7586,1.0906343210381881
11,Biobio,podia,1573,37767,1.0904886517807075
11,Biobio,demostrar,675,16209,1.0903162043496881
11,Biobio,alcanzar,1577,37875,1.090144248649957
11,Biobio,completo,1945,46737,1.089591457573434
11,Biobio,vuelo,863,20739,1.0895016697823163
11,Biobio,primera,14428,346812,1.0892233269759795
11,Biobio,mediatico,273,6563,1.0890934819264042
11,Biobio,ojos,1009,24264,1.0887638308550898
11,Biobio,principe,425,10225,1.0882546447783017
11,Biobio,asistentes,1096,26371,1.0881502632947972
11,Biobio,exclusivo,479,11527,1.0879880776752375
11,Biobio,raiz,1768,42548,1.0879477195235931
11,Biobio,recomendable,258,6209,1.0879350338341491
11,Biobio,profesional,3072,73933,1.087897048219658
11,Biobio,activo,1081,26022,1.087651936689737
11,Biobio,vuelven,378,9100,1.0875652526956365
11,Biobio,contactar,223,5369,1.0874677219582414
11,Biobio,respectivamente,1107,26653,1.0874428388676216
11,Biobio,expareja,672,16180,1.0874158823821225
11,Biobio,visitante,637,15338,1.0873656637801739
11,Biobio,campeon,1527,36780,1.087006718187274
11,Biobio,surgio,627,15103,1.0869491681468895
11,Biobio,integrantes,1389,33459,1.0869115527752105
11,Biobio,entretenido,260,6264,1.0867421580433907
11,Biobio,discriminacion,508,12240,1.0866438103367806
11,Biobio,separar,201,4843,1.086642043611512
11,Biobio,envergadura,208,5012,1.086568695607949
11,Biobio,llevara,1057,25470,1.0865531080349244
11,Biobio,testimonio,754,18172,1.0863594181242031
